Round,Wk,Day,Home,xG,Score,xGA,Away,Attendance,Venue,Referee,Match Report,Notes
League phase,4,Tue,Bologna,0.5,0–1,0.9,Monaco,23084,Stadio Renato Dall'Ara,Əliyar Ağayev,Match Report,
League phase,4,Tue,Real Madrid,2.6,1–3,2.5,Milan,75561,Estadio Santiago Bernabéu,Slavko Vinčič,Match Report,
League phase,4,Tue,Lille,0.8,1–1,1.4,Juventus,48312,Decathlon Arena - Stade Pierre-Mauroy,Irfan Peljto,Match Report,
League phase,4,Tue,Dortmund,2,1–0,0.4,Sturm Graz,81365,Signal Iduna Park,Erik Lambrechts,Match Report,
League phase,4,Wed,Club Brugge,1.4,1–0,0.4,Aston Villa,23466,Jan Breydelstadion,Tobias Stieler,Match Report,
League phase,4,Wed,Shakhtar,2,2–1,1,Young Boys,,Veltins-Arena,Orel Grinfeeld,Match Report,
League phase,4,Wed,Bayern Munich,1.4,1–0,0.1,Benfica,75000,Allianz Arena,Davide Massa,Match Report,
League phase,4,Wed,Feyenoord,0.8,1–3,1.7,RB Salzburg,42774,Stadion Feijenoord,Donatas Rumšas,Match Report,
League phase,4,Wed,Inter,1.1,1–0,1.8,Arsenal,,Stadio Giuseppe Meazza,István Kovács,Match Report,
League phase,4,Wed,Stuttgart,1,0–2,2.3,Atalanta,,MHPArena,Rade Obrenović,Match Report,
League phase,4,Wed,Red Star,0.2,2–5,3.6,Barcelona,,Stadion Rajko Mitić,Espen Eskås,Match Report,
League phase,4,Wed,Sparta Prague,0.5,1–2,1.6,Brest,,epet Arena,Mykola Balakin,Match Report,
League phase,4,Wed,Paris S-G,2.1,1–2,0.7,Atletico Madrid,,Parc des Princes,Szymon Marciniak,Match Report,
League phase,5,Tue,Slovan Bratislava,1.5,2–3,1.9,Milan,22500,Štadión Tehelné pole,Jose Maria Sánchez,Match Report,
League phase,5,Tue,Sparta Prague,0.2,0–6,3.1,Atletico Madrid,,epet Arena,Danny Makkelie,Match Report,
League phase,5,Tue,Sporting CP,1,1–5,4,Arsenal,47386,Estádio José Alvalade,Szymon Marciniak,Match Report,
League phase,5,Tue,Manchester City,2.1,3–3,2.2,Feyenoord,47011,Etihad Stadium,Radu Petrescu,Match Report,
League phase,5,Tue,Inter,1.4,1–0,0.1,RB Leipzig,63174,Stadio Giuseppe Meazza,João Pinheiro,Match Report,
League phase,5,Tue,Leverkusen,4.3,5–0,0.3,RB Salzburg,29211,BayArena,Mykola Balakin,Match Report,
League phase,5,Tue,Bayern Munich,2.4,1–0,0.8,Paris S-G,75000,Allianz Arena,István Kovács,Match Report,
League phase,5,Tue,Young Boys,0.8,1–6,2.5,Atalanta,31500,Stadion Wankdorf,Manfredas Lukjančukas,Match Report,
League phase,5,Tue,Barcelona,2.8,3–0,0.1,Brest,46317,Estadi Olímpic Lluís Companys,Irfan Peljto,Match Report,
League phase,5,Wed,Red Star,1.8,5–1,0.6,Stuttgart,,Stadion Rajko Mitić,Erik Lambrechts,Match Report,
League phase,5,Wed,Sturm Graz,0.8,1–0,1.7,Girona,,Merkur Arena,Rohit Saggi,Match Report,
League phase,5,Wed,Aston Villa,1.2,0–0,0.4,Juventus,,Villa Park,Jesús Gil,Match Report,
League phase,5,Wed,Celtic,1,1–1,1.1,Club Brugge,57456,Celtic Park,Georgi Kabakov,Match Report,
League phase,5,Wed,Liverpool,2.7,2–0,1.2,Real Madrid,,Anfield,François Letexier,Match Report,
League phase,5,Wed,Dinamo Zagreb,0.2,0–3,1.7,Dortmund,,Stadion Maksimir,Clément Turpin,Match Report,
League phase,5,Wed,Monaco,1.6,2–3,3,Benfica,,Stade Louis II,Rade Obrenović,Match Report,
League phase,5,Wed,PSV Eindhoven,2.6,3–2,1,Shakhtar,,Philips Stadion,Urs Schnyder,Match Report,
League phase,5,Wed,Bologna,1.7,1–2,2.1,Lille,,Stadio Renato Dall'Ara,Michael Oliver,Match Report,
League phase,6,Tue,Girona,1.2,0-1,1.8,Liverpool,,Estadi Municipal de Montilivi,,Head-to-Head,
League phase,6,Tue,Dinamo Zagreb,0.5,0-0,0.4,Celtic,,Stadion Maksimir,,Head-to-Head,
League phase,6,Tue,Club Brugge,1,2-1,1.2,Sporting CP,,Jan Breydelstadion,,Head-to-Head,
League phase,6,Tue,RB Salzburg,0.2,0-3,3.2,Paris S-G,,Red Bull Arena,,Head-to-Head,
League phase,6,Tue,RB Leipzig,2.2,2-3,2.1,Aston Villa,,Red Bull Arena,,Head-to-Head,
League phase,6,Tue,Brest,1.6,1-0,1.6,PSV Eindhoven,,Stade du Roudourou,,Head-to-Head,
League phase,6,Tue,Leverkusen,1.1,1-0,0.3,Inter,,BayArena,,Head-to-Head,
League phase,6,Tue,Atalanta,3.3,2-3,2.1,Real Madrid,,Gewiss Stadium,,Head-to-Head,
League phase,6,Tue,Shakhtar,1.2,1-5,3.6,Bayern Munich,,Veltins-Arena,,Head-to-Head,
League phase,6,Wed,Atletico Madrid,1.9,3-1,1.0,Slovan Bratislava,,Riyadh Air Metropolitan Stadium,,Head-to-Head,
League phase,6,Wed,Lille,1.9,3-2,1.2,Sturm Graz,,Decathlon Arena - Stade Pierre-Mauroy,,Head-to-Head,
League phase,6,Wed,Benfica,1.1,0-0,0.2,Bologna,,Estádio do Sport Lisboa e Benfica,,Head-to-Head,
League phase,6,Wed,Arsenal,2.2,3-0,0.4,Monaco,,Emirates Stadium,,Head-to-Head,
League phase,6,Wed,Juventus,1,2-0,1.1,Manchester City,,Allianz Stadium,,Head-to-Head,
League phase,6,Wed,Stuttgart,2.4,5-1,0.2,Young Boys,,MHPArena,,Head-to-Head,
League phase,6,Wed,Feyenoord,1.2,4-2,0.6,Sparta Prague,,Stadion Feijenoord,,Head-to-Head,
League phase,6,Wed,Milan,2.1,2-1,0.5,Red Star,,Stadio Giuseppe Meazza,,Head-to-Head,
League phase,6,Wed,Dortmund,2.9,2-3,2.2,Barcelona,,Signal Iduna Park,,Head-to-Head,
League phase,7,Tue,Atalanta,,,,Sturm Graz,,Gewiss Stadium,,Head-to-Head,
League phase,7,Tue,Monaco,,,,Aston Villa,,Stade Louis II,,Head-to-Head,
League phase,7,Tue,Liverpool,,,,Lille,,Anfield,,Head-to-Head,
League phase,7,Tue,Benfica,,,,Barcelona,,Estádio do Sport Lisboa e Benfica,,Head-to-Head,
League phase,7,Tue,Atletico Madrid,,,,Leverkusen,,Riyadh Air Metropolitan Stadium,,Head-to-Head,
League phase,7,Tue,Club Brugge,,,,Juventus,,Jan Breydelstadion,,Head-to-Head,
League phase,7,Tue,Red Star,,,,PSV Eindhoven,,Stadion Rajko Mitić,,Head-to-Head,
League phase,7,Tue,Slovan Bratislava,,,,Stuttgart,,Štadión Tehelné pole,,Head-to-Head,
League phase,7,Tue,Bologna,,,,Dortmund,,Stadio Renato Dall'Ara,,Head-to-Head,
League phase,7,Wed,RB Leipzig,,,,Sporting CP,,Red Bull Arena,,Head-to-Head,
League phase,7,Wed,Shakhtar,,,,Brest,,Veltins-Arena,,Head-to-Head,
League phase,7,Wed,Celtic,,,,Young Boys,,Celtic Park,,Head-to-Head,
League phase,7,Wed,Arsenal,,,,Dinamo Zagreb,,Emirates Stadium,,Head-to-Head,
League phase,7,Wed,Feyenoord,,,,Bayern Munich,,Stadion Feijenoord,,Head-to-Head,
League phase,7,Wed,Real Madrid,,,,RB Salzburg,,Estadio Santiago Bernabéu,,Head-to-Head,
League phase,7,Wed,Sparta Prague,,,,Inter,,epet Arena,,Head-to-Head,
League phase,7,Wed,Milan,,,,Girona,,Stadio Giuseppe Meazza,,Head-to-Head,
League phase,7,Wed,Paris S-G,,,,Manchester City,,Parc des Princes,,Head-to-Head,
League phase,8,Wed,Aston Villa,,,,Celtic,,Villa Park,,Head-to-Head,
League phase,8,Wed,Sporting CP,,,,Bologna,,Estádio José Alvalade,,Head-to-Head,
League phase,8,Wed,Manchester City,,,,Club Brugge,,Etihad Stadium,,Head-to-Head,
League phase,8,Wed,Brest,,,,Real Madrid,,Stade du Roudourou,,Head-to-Head,
League phase,8,Wed,Juventus,,,,Benfica,,Allianz Stadium,,Head-to-Head,
League phase,8,Wed,Sturm Graz,,,,RB Leipzig,,Merkur Arena,,Head-to-Head,
League phase,8,Wed,Lille,,,,Feyenoord,,Decathlon Arena - Stade Pierre-Mauroy,,Head-to-Head,
League phase,8,Wed,Stuttgart,,,,Paris S-G,,MHPArena,,Head-to-Head,
League phase,8,Wed,RB Salzburg,,,,Atletico Madrid,,Red Bull Arena,,Head-to-Head,
League phase,8,Wed,Dortmund,,,,Shakhtar,,Signal Iduna Park,,Head-to-Head,
League phase,8,Wed,Barcelona,,,,Atalanta,,Estadi Olímpic Lluís Companys,,Head-to-Head,
League phase,8,Wed,PSV Eindhoven,,,,Liverpool,,Philips Stadion,,Head-to-Head,
League phase,8,Wed,Inter,,,,Monaco,,Stadio Giuseppe Meazza,,Head-to-Head,
League phase,8,Wed,Leverkusen,,,,Sparta Prague,,BayArena,,Head-to-Head,
League phase,8,Wed,Young Boys,,,,Red Star,,Stadion Wankdorf,,Head-to-Head,
League phase,8,Wed,Girona,,,,Arsenal,,Estadi Municipal de Montilivi,,Head-to-Head,
League phase,8,Wed,Bayern Munich,,,,Slovan Bratislava,,Allianz Arena,,Head-to-Head,
League phase,8,Wed,Dinamo Zagreb,,,,Milan,,Stadion Maksimir,,Head-to-Head,
